names,references,prices,descriptions,disponibilities,Système d'exploitation,Processeur,Réf processeur,Mémoire,Disque Dur,Carte Graphique,Réf Carte graphique,Taille Ecran,Type Ecran,Ecran Tactile,Lecteurs/Graveurs,Réseau,Caméra,Garantie,Taux de Rafraîchissement
PC PORTABLE HP 15-FD0053NK,A2AP0EA-W11P,1,"Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - Couleur Silver - WINDOWS 11 - Garantie 1 an",En stock,,Intel Core I3,,8 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0053NK,A2AP0EA-16,1,"Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Silver - Garantie 1 an",En stock,,Intel Core I3,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ520W-12,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 12 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,12 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0051NK,A2AN9EA-W11P,1,"Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - Windows 11 Pro - Couleur Gold - Garantie 1 an",En stock,,Intel Core I3,,8 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ519W-12,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 12 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,12 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0052NK,A2MM1EA-16,1,"Écran 15.6"" Full HD (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu'à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel UHD Graohics Intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Bleu - Garantie 1 an",En stock,,Intel Core I3,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0051NK,A2AN9EA-16,1,"Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Gold - Garantie 1 an",En stock,,Intel Core I3,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS EXPERTBOOK B2 B2502CBA,B2502CBA-KJ1662,1,"Écran 15.6"" Full HD (1920 x 1080 ) - Processeur Intel Core i3-1215U (Up to 4.4 GHz, 10 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD 512 Go - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - 1x USB 2.0 Type-A - 1x USB 3.2 Gen 1 Type-A - 1x USB 3.2 Gen 2 Type-C - RJ45 - Jack 3,5mm - 720p HD camera - Capteur d'empreintes digitales intégré - Clavier rétroéclairé avec SensePoin - Couleur Bleu - Garantie 1 an",En stock,,Intel Core I3,,8 Go,,,,,,,,,,,
PC PORTABLE ASUS ASUS CHROMEBOOK 15 CX1500CKA,90NX03Y2-M00240,1,"Écran 15.6"" Full HD (1920 x 1080 px), anti-reflets, Rétroéclairage LED - Processeur Intel Pentium Silver N6000, jusqu'à 3.3 GHz, 4 Mo de mémoire cache - Mémoire 8 Go LPDDR4 - Disque 32 Go eMMC - Carte graphique Intel UHD Graphics - 2x USB 3.2 - 2x USB-C 3.2 - 1 x combo audio jack de 3.5 mm - Lecteur de cartes Micro SD - Caméra 720p HD - Wi-Fi 6 - Bluetooth 5.2 - Système d'exploitation: Chrome - Couleur Silver - Garantie 1 an",Sur commande,,Intel Celeron,,8 Go,,Graphique Intégrée,,"14""",,,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ480W-16,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 16 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Bleu - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,16 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ432W-16,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 16 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,16 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE LENOVO IDEAPAD SLIM 3 15IRU8,82X700CJFG-2Y-W11P,1,"Écran 15.6"" FHD (1920 x 1080 px), antireflet - Processeur Intel Core i3-1305U, (jusqu’à 4.5 GHz, 10 Mo de mémoire cache) - Mémoire 8 Go LPDDR5 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4 - 1x prise combinée casque/microphone (3.5 mm) - - Windows 11 Pro - Couleur Gris arctique - Garantie 2 ans",En stock,,Intel Core I3,,8 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,2 Ans,
PC PORTABLE DELL VOSTRO 3520,V3520I3-UBU-32,1,"Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 32 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an",En stock,,Intel Core I3,,32 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE DELL VOSTRO 3520,V3520I3-UBU-12W11P,1,"Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir -  Windows 11 pro - Garantie 1 an",En stock,,Intel Core I3,,12 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ519W-20,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 20 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,20 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ520W-20,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 20 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,20 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE MSI MODERN 15 - B12MO,B12MO-1019XFR-W,1,"Écran 15.6"" Full HD (1920 x 1080), IPS - Processeur Intel Core i3-1215U, (jusqu'à 4.4 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe 512 Go - Carte graphique Intel Iris Xe Graphics - Wi-Fi 6 - Bluetooth 5.2 - 1x Jack Audio Combo - 1x USB 3.2 Type-C - 1x USB 3.2 - 2x USB 2.0 - 1x Lecteur de carte Micro SD - 1x HDMI - Webcam HD - 2x Haut-parleurs 2W - Clavier AZERTY, rétroéclairage blanc - Windows 11 Pro - Garantie 1 an",En stock,,Intel Core I3,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Oui,,WiFi - Bluetooth,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X1504,X1504VA-NJ432W-24,1,"Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 24 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an",En stock,,Intel Core I3,,24 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
